Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions,,Source:
"????, Bangladesh",1/21/2017,26,14.6,19.8,,,0,,,8.1,253.3,,2.1,0,62.94,Clear,,
"????, Bangladesh",1/22/2017,28,15.1,20.9,,27.3,0,,,9.2,273.87,,1.8,4.2,64.41,Clear,,
"????, Bangladesh",1/23/2017,26.9,16,21.1,,26.7,0,,,10.3,238.35,,2.1,0,61.31,Clear,,
"????, Bangladesh",1/24/2017,27,15.7,21.1,,26.5,0,,,9.2,211,,2,2.1,62.8,Clear,,
"????, Bangladesh",1/25/2017,28.1,16.8,22.1,,27.5,0,,,6.9,54.54,,1.8,0,66.67,Clear,,
"????, Bangladesh",1/26/2017,30,16.7,22.9,,28.5,0,,,6.9,77.96,,2.1,3.1,58.42,Clear,,
"????, Bangladesh",1/27/2017,26.7,17,22.2,,26.9,0,,,8.1,109.57,,1.8,55.2,65.61,Partially cloudy,,
"????, Bangladesh",1/28/2017,26.8,17.8,22,,27.1,0,,,9.2,137.54,,1.8,29,67.63,Partially cloudy,,
"????, Bangladesh",1/29/2017,26,15.9,21.1,,,0,,,15,288.96,,2.5,0.7,59.19,Clear,,
"????, Bangladesh",1/30/2017,26,16,20.8,,,0,,,9.2,184.33,,2.2,3.7,62.49,Clear,,
"????, Bangladesh",1/31/2017,26,16.5,20.5,,,0,,,9.2,153.5,,2,0,64.01,Clear,,
"????, Bangladesh",2/1/2017,27,15.7,20.9,,26.5,0,,,9.2,168.13,,1.9,0,63.87,Clear,,
"????, Bangladesh",2/2/2017,27.1,16,21,,26.7,0,,,13.9,266.58,,2,0,61.76,Clear,,
"????, Bangladesh",2/3/2017,26,15.7,19.9,,,0,,,9.2,306.75,,1.8,0.1,71.47,Clear,,
"????, Bangladesh",2/4/2017,28.1,16.8,21.6,,27.8,0,,,8.3,174.88,,1.8,5.6,67.07,Clear,,
"????, Bangladesh",2/5/2017,31.6,16.3,23.3,,29.8,0,,,9.2,83.88,,2.4,0,57.8,Clear,,
"????, Bangladesh",2/6/2017,30.1,18,23.8,,29.2,0,,,9.2,93.96,,2.2,2.2,55.29,Clear,,
"????, Bangladesh",2/7/2017,29,19,23.3,,28.6,0,,,10.3,212.18,,2.4,0.2,58.03,Clear,,
"????, Bangladesh",2/8/2017,29,18,22.9,,27.8,0,,,10.3,290.13,,2.4,0,51.76,Clear,,
"????, Bangladesh",2/9/2017,30,16.7,22.3,,28.8,0,,,11.4,158.08,,2.3,0,55.65,Clear,,
"????, Bangladesh",2/10/2017,29,16.7,22.2,,27.9,0,,,6.9,101.13,,2.2,0,58.01,Clear,,
"????, Bangladesh",2/11/2017,28.1,17.8,22.8,,28.6,0,,,6.9,72.13,,2.1,15,61.22,Clear,,
"????, Bangladesh",2/12/2017,29,18.1,23.7,,28.3,0,,,9.2,212.58,,2.4,4.7,53.69,Clear,,
"????, Bangladesh",2/13/2017,29,19.7,23.9,,27.6,0,,,10.3,179.17,,2.4,2.4,47.46,Clear,,
"????, Bangladesh",2/14/2017,30,18.5,24.1,,29,0,,,6.9,125.29,,2.3,5.6,57.33,Clear,,
"????, Bangladesh",2/15/2017,30,18.8,23.9,,28.6,0,,,9.2,135,,2.1,0.5,58.53,Clear,,
"????, Bangladesh",2/16/2017,30,18.8,23.8,,28.8,0,,,10.3,243.25,,2.2,1.5,57.46,Clear,,
"????, Bangladesh",2/17/2017,30,18,23.5,,29.4,0,,,6.9,161.58,,2.3,0,56.75,Clear,,
"????, Bangladesh",2/18/2017,30,18.8,24.2,,29.2,0,,,9.2,137.33,,2,1.7,58.45,Clear,,
"????, Bangladesh",2/19/2017,29.1,20.7,24.5,,28.4,0,,,7.3,129.32,,2.2,24.1,60.52,Clear,,
"????, Bangladesh",2/20/2017,28,20.9,24.4,,29.7,0,,,11.4,144.96,,1.7,30.7,72.37,Partially cloudy,,
"????, Bangladesh",2/21/2017,31,21,26.4,,34.6,0,,,16.1,182.96,,2.2,45.5,68.7,Partially cloudy,,
"????, Bangladesh",2/22/2017,29.2,23,26.2,,30.3,0,,,13.9,190.67,,2.4,56.2,66.9,Partially cloudy,,
"????, Bangladesh",2/23/2017,29,23,25.5,,28.4,5.4,,,12.8,194.63,,2.4,56.2,63.48,"Rain, Partially cloudy",,
"????, Bangladesh",2/24/2017,30,19.3,24.1,,28.6,0,,,11.4,200.75,,2.5,0.4,46.72,Clear,,
"????, Bangladesh",2/25/2017,30,17.9,24.1,,28.5,0,,,11.4,165.96,,2.4,0,47.83,Clear,,
"????, Bangladesh",2/26/2017,30,16.7,23.5,,28.6,0,,,11.4,112.74,,2.5,0,48.62,Clear,,
"????, Bangladesh",2/27/2017,31,18.6,24.4,,29.9,0,,,13.9,184.96,,2.3,0,50.71,Clear,,
"????, Bangladesh",2/28/2017,29.2,19,24.2,,28.1,0,,,15.7,151.88,,2.3,0,49.79,Clear,,
"????, Bangladesh",3/1/2017,31,20,24.9,,29.5,0,,,9.2,97.96,,2.5,0,46.84,Clear,,
"????, Bangladesh",3/2/2017,32.1,20,25.6,,30.6,0,,,11.4,154.88,,2.2,0,54.21,Clear,,
"????, Bangladesh",3/3/2017,33,21.5,26.7,,32.1,0,,,11.4,180.29,,2.4,15.6,57.29,Clear,,
"????, Bangladesh",3/4/2017,30.1,22.8,26.2,,29.5,0,,,11.4,217.92,,2.6,47,57.84,Partially cloudy,,
"????, Bangladesh",3/5/2017,30.1,22.9,25.7,,31.9,3.2,,,11.4,181.92,,2.5,73.5,71.03,"Rain, Partially cloudy",,
"????, Bangladesh",3/6/2017,29.7,21.3,24.3,,29.7,17.74,,,9.2,108.95,,2.5,57.9,72.06,"Rain, Partially cloudy",,
"????, Bangladesh",3/7/2017,30.6,21,25.4,,30.6,0,,,6.9,64.38,,2,25.3,69.06,Partially cloudy,,
"????, Bangladesh",3/8/2017,29.8,21.1,24.5,,29.6,24.91,,,13.9,114.33,32.2,2.3,56.6,64.69,"Rain, Partially cloudy",,
"????, Bangladesh",3/9/2017,26.3,19,23.4,,,0,,,9.2,100.33,,2.5,40.4,68.14,Partially cloudy,,
"????, Bangladesh",3/10/2017,31,21.8,25.1,,31.2,18.5,,,20.5,115.79,,2.2,62,71.9,"Rain, Partially cloudy",,
"????, Bangladesh",3/11/2017,26.6,20,22.4,,,67.02,,,11.4,100.26,,2.3,84.1,83.9,"Rain, Overcast",,
"????, Bangladesh",3/12/2017,30,21.6,24.8,,30.3,19.48,,,11.4,158.25,,2.4,70,67.05,"Rain, Partially cloudy",,
"????, Bangladesh",3/13/2017,30,19.7,24.3,,28.2,0,,,11.4,192.88,,2.6,3.3,51.38,Clear,,
"????, Bangladesh",3/14/2017,30,19.6,24.3,,28.7,0,,,13.9,106.17,,2.7,0,48.34,Clear,,
"????, Bangladesh",3/15/2017,31,18.4,24.5,,29.5,0,,,11.4,129.21,,2.7,8.6,47.43,Clear,,
"????, Bangladesh",3/16/2017,30.5,17.8,24,,29.2,0,,,13.9,118.33,,2.4,0,51.36,Clear,,
"????, Bangladesh",3/17/2017,32,18.1,25.4,,30.3,0,,,10.3,115.83,,2.5,0,49.29,Clear,,
"????, Bangladesh",3/18/2017,29,21,24.1,,29.5,30,,,13.9,147.88,,2.5,60.3,69.65,"Rain, Partially cloudy",,
"????, Bangladesh",3/19/2017,30,18.1,24.1,,29.7,8.4,,,9.2,120.83,,2.5,40.3,59.44,"Rain, Partially cloudy",,
"????, Bangladesh",3/20/2017,24,18,21.2,,,13.92,,,13.9,72.63,,2.4,65.5,75.26,"Rain, Partially cloudy",,
"????, Bangladesh",3/21/2017,28.2,18,22.6,,28,1.2,,,11.4,113.83,,2.5,41.7,64.37,"Rain, Partially cloudy",,
"????, Bangladesh",3/22/2017,30,19,24.6,,29.4,0,,,9.2,102.63,,2.5,31.5,60.59,Partially cloudy,,
"????, Bangladesh",3/23/2017,30.4,21,25.9,,32.4,0,,,9.2,87.75,,2.4,50.7,67.39,Partially cloudy,,
"????, Bangladesh",3/24/2017,31.1,23,27.3,,32.8,0,,,10.3,126.96,,2.6,36.9,63.25,Partially cloudy,,
"????, Bangladesh",3/25/2017,27.3,20,24.5,,29.5,12.79,,,9.2,125.54,,2.4,58,73.52,"Rain, Partially cloudy",,
"????, Bangladesh",3/26/2017,31,19,24.8,,35.5,0,,,6.9,70.29,,2.5,62.3,72.06,Partially cloudy,,
"????, Bangladesh",3/27/2017,32,23,27,,35.8,0,,,13.9,151.29,,2.5,69.5,72.11,Partially cloudy,,
"????, Bangladesh",3/28/2017,29.8,24,26.8,,33,0,,,11.4,141.25,,2.4,65.7,76.96,Partially cloudy,,
"????, Bangladesh",3/29/2017,29.1,23,26.1,,33.6,31.49,,,13.4,154.92,,2.4,76.3,80.48,"Rain, Overcast",,
"????, Bangladesh",3/30/2017,32.1,26,28.6,,36.8,0,,,18.3,187.42,,2.5,76,72.24,Overcast,,
"????, Bangladesh",3/31/2017,34,26,29.3,,39.4,4.7,,,17.2,184.29,,2.6,63.9,70.26,"Rain, Partially cloudy",,
"????, Bangladesh",4/1/2017,34,26,29.2,,38.3,18,,,15,193.21,,2.7,64.7,69.02,"Rain, Partially cloudy",,
"????, Bangladesh",4/2/2017,33,26,28.9,,38.1,0,,,20.8,181.67,,2.6,71.1,70.26,Partially cloudy,,
"????, Bangladesh",4/3/2017,33.1,25.9,28.7,,38.2,0,,,23,173.08,34.4,2.6,71.2,69.91,Partially cloudy,,
"????, Bangladesh",4/4/2017,32,22.2,26.4,,36.8,26.7,,,13.9,109.96,,2.6,81.2,71.14,"Rain, Overcast",,
"????, Bangladesh",4/5/2017,29,22,25.1,,33.6,43.73,,,17.2,118.63,,2.6,66,80.71,"Rain, Partially cloudy",,
"????, Bangladesh",4/6/2017,29.9,20,24.9,,33.9,31,,,11.4,89,,2.6,71.1,78.8,"Rain, Partially cloudy",,
"????, Bangladesh",4/7/2017,33.4,24,29,,39.3,7,,,11.4,143.17,,2.4,63.1,72.6,"Rain, Partially cloudy",,
"????, Bangladesh",4/8/2017,34,26.1,29.6,,39.4,0,,,11.4,188.42,,2.6,51.7,70.35,Partially cloudy,,
"????, Bangladesh",4/9/2017,34,26,29.6,,45.3,0,,,11.4,207.42,,2.6,60,72.15,Partially cloudy,,
"????, Bangladesh",4/10/2017,35.1,26.8,30,,39.3,0,,,11.4,235.5,,2.6,31.1,64.51,Partially cloudy,,
"????, Bangladesh",4/11/2017,35.2,26.9,30.4,,39.3,0,,,11.4,220.79,,2.7,22.9,58.65,Clear,,
"????, Bangladesh",4/12/2017,35,26,29.9,,37.9,0,,,11.4,186.38,,2.6,41.5,65.08,Partially cloudy,,
"????, Bangladesh",4/13/2017,36,25,30,,38.9,0,,,9.2,147.39,,2.7,1.4,58.98,Clear,,
"????, Bangladesh",4/14/2017,35.6,24.1,30.2,,35.4,0,,,11.4,111.58,,2.6,5.5,55.11,Clear,,
"????, Bangladesh",4/15/2017,34.2,25.9,29.3,,37.3,0,,,11.4,166.88,,2.6,36.2,63.17,Partially cloudy,,
"????, Bangladesh",4/16/2017,31,23,26.4,,31.4,12,,,13.9,60.21,,2.6,39.2,62.76,"Rain, Partially cloudy",,
"????, Bangladesh",4/17/2017,34.4,23.5,28.7,,36.1,0,,,11.4,212.96,,2.7,3.4,56.56,Clear,,
"????, Bangladesh",4/18/2017,34,24.9,29.5,,40.6,0,,,13.9,176.75,,2.6,32.4,63.24,Partially cloudy,,
"????, Bangladesh",4/19/2017,34,23,28.3,,41.1,82.12,,,20.3,190,34.4,2.4,78,75.53,"Rain, Overcast",,
"????, Bangladesh",4/20/2017,29.1,22.6,25.4,,32.1,14.12,,,18.3,140.67,28.9,2.5,65.7,78.63,"Rain, Partially cloudy",,
"????, Bangladesh",4/21/2017,27,24,25.4,,29.5,19.33,,,17.2,126.75,,2.5,83.4,80.33,"Rain, Overcast",,
"????, Bangladesh",4/22/2017,24.5,21,22.9,,,77.21,,,13.9,137.92,,2.4,86.9,88.78,"Rain, Overcast",,
"????, Bangladesh",4/23/2017,28.4,20.9,23.9,,31.7,24.97,,,25.3,119.5,,2.4,90.4,86.64,"Rain, Overcast",,
"????, Bangladesh",4/24/2017,24.1,21,23.1,,,66.28,,,24.2,154.33,,2.4,90,86.72,"Rain, Overcast",,
"????, Bangladesh",4/25/2017,33.7,23,27.5,,42.2,44,,,16.1,163.25,36.9,2.5,75.2,79.49,"Rain, Overcast",,
"????, Bangladesh",4/26/2017,34.1,23.2,28.8,,42.8,37.6,,,15,172.96,,2.6,57.5,75.53,"Rain, Partially cloudy",,
"????, Bangladesh",4/27/2017,34.1,26.1,30,,41,0,,,13.9,183.54,,2.6,80.1,73.17,Overcast,,
"????, Bangladesh",4/28/2017,34,26,29.9,,41.6,0,,,13.9,154.79,,2.6,57.9,73.2,Partially cloudy,,
"????, Bangladesh",4/29/2017,33.7,23,28.2,,39.5,9.72,,,40.3,147.33,,2.5,60.5,72.74,"Rain, Partially cloudy",,
"????, Bangladesh",4/30/2017,33.1,23,28.1,,39.9,3.51,,,28.9,168.75,,2.6,48.5,71.2,"Rain, Partially cloudy",,
"????, Bangladesh",5/1/2017,33,22,26.9,,36,18.26,,,15.9,153.83,28.9,2.5,68.3,70.84,"Rain, Partially cloudy",,
"????, Bangladesh",5/2/2017,32.1,21.6,27,,34.2,50.11,,,15,112.08,25.3,2.5,46.4,69.45,"Rain, Partially cloudy",,
"????, Bangladesh",5/3/2017,34.7,26,29.7,,39.4,0,,,11.4,93.54,,2.5,41.4,67.94,Partially cloudy,,
"????, Bangladesh",5/4/2017,34,26,29.4,,38.4,0,,,17.2,136.75,,2.6,26.7,67.27,Partially cloudy,,
"????, Bangladesh",5/5/2017,34.6,27,30.3,,40.9,0,,,11.4,160.71,,2.6,49.5,68.2,Partially cloudy,,
"????, Bangladesh",5/6/2017,33.3,26,30.1,,42.1,0,,,13.9,173.96,,2.6,61.5,70,Partially cloudy,,
"????, Bangladesh",5/7/2017,34,24,29.4,,39.6,0,,,12.8,146.46,,2.6,62.1,70.37,Partially cloudy,,
"????, Bangladesh",5/8/2017,34.4,27.6,30.9,,40,0,,,11.4,164.63,,2.6,67,65.28,Partially cloudy,,
"????, Bangladesh",5/9/2017,31,25,27.5,,37.7,23.24,,,18,144.58,,2.6,67.9,77.54,"Rain, Partially cloudy",,
"????, Bangladesh",5/10/2017,34,23.9,28.2,,39.4,4,,,8.1,71.21,,2.6,57.5,74.24,"Rain, Partially cloudy",,
"????, Bangladesh",5/11/2017,35,27,30.2,,40.6,0,,,11.4,160.71,,2.6,57.7,68.25,Partially cloudy,,
"????, Bangladesh",5/12/2017,33.9,26.7,29.8,,41,0.5,,,11.4,58.75,,2.7,62,70.95,"Rain, Partially cloudy",,
"????, Bangladesh",5/13/2017,33.6,27,29.9,,38.6,0.4,,,11.4,91.3,,2.7,68,72.09,"Rain, Partially cloudy",,
"????, Bangladesh",5/14/2017,32.2,25.6,28.9,,39.1,34.55,,,9.2,153.46,,2.6,58.2,74.21,"Rain, Partially cloudy",,
"????, Bangladesh",5/15/2017,31.8,24,28.1,,37.7,54.91,,,16.1,161.75,40.3,2.6,76.6,78.25,"Rain, Overcast",,
"????, Bangladesh",5/16/2017,30.1,22,25.6,,34.6,119.27,,,13.9,163.04,,2.4,79.6,79.47,"Rain, Overcast",,
"????, Bangladesh",5/17/2017,32,25,28.2,,39.3,11.97,,,40.3,108.25,,2.5,78.6,79.19,"Rain, Overcast",,
"????, Bangladesh",5/18/2017,33.8,24,29.2,,40,37.08,,,11.4,230.92,,2.6,53.6,69.8,"Rain, Partially cloudy",,
"????, Bangladesh",5/19/2017,35.1,28,30,,45.1,0,,,18.3,134.38,,2.7,67.6,74.73,Partially cloudy,,
"????, Bangladesh",5/20/2017,35.7,27,31.2,,44.9,0,,,11.4,164.63,,2.6,50,69.88,Partially cloudy,,
"????, Bangladesh",5/21/2017,35.6,27,31.2,,46.7,0,,,13.9,144.38,,2.6,54.1,69.91,Partially cloudy,,
"????, Bangladesh",5/22/2017,36.1,28,32.1,,46.7,0,,,11.4,191.54,,2.6,52.4,69.24,Partially cloudy,,
"????, Bangladesh",5/23/2017,36.3,28,32,,43.4,0,,,11.4,156.17,,2.7,48.9,69.34,Partially cloudy,,
"????, Bangladesh",5/24/2017,36,29.7,32.3,,45.6,0,,,11.4,189.33,,2.7,54,69.31,Partially cloudy,,
"????, Bangladesh",5/25/2017,35.1,29,32.1,,43.6,0,,,13.9,184.08,,2.6,40.5,67.04,Partially cloudy,,
"????, Bangladesh",5/26/2017,34.1,26.7,30.8,,43.5,1.08,,,11.4,144.92,,2.6,61.9,72.82,"Rain, Partially cloudy",,
"????, Bangladesh",5/27/2017,34.1,26,29.7,,41.6,2.97,,,8.1,105.54,,2.6,66.1,74.46,"Rain, Partially cloudy",,
"????, Bangladesh",5/28/2017,34.4,27.8,30.2,,44.6,3.6,,,9.2,101.75,,2.6,53.7,73.03,"Rain, Partially cloudy",,
"????, Bangladesh",5/29/2017,34.4,27.9,30,,42.2,29.15,,,11.4,135.79,,2.6,68.2,74.47,"Rain, Partially cloudy",,
"????, Bangladesh",5/30/2017,30.2,26,27.6,,36.2,35.4,,,10.3,177.83,,2.5,87.3,82.86,"Rain, Overcast",,
"????, Bangladesh",5/31/2017,34,25.9,28.9,,43.7,22.48,,,20.8,153,,2.6,78.3,78.18,"Rain, Overcast",,
"????, Bangladesh",6/1/2017,30,25.8,26.7,,38.8,44.87,,,13.9,140.92,,2.6,86.9,86.65,"Rain, Overcast",,
"????, Bangladesh",6/2/2017,33,24.9,27.8,,39.3,46.55,,,17.2,187.71,,2.6,87.3,79.23,"Rain, Overcast",,
"????, Bangladesh",6/3/2017,34.4,24.8,30.3,,45.1,32.02,,,16.1,175.17,,2.6,74.6,74.95,"Rain, Partially cloudy",,
"????, Bangladesh",6/4/2017,33.2,27,30,,46.2,7.66,,,19.3,158.83,,2.6,67.9,76.4,"Rain, Partially cloudy",,
"????, Bangladesh",6/5/2017,31.7,25,27.2,,40.4,14.21,,,28.9,167.67,,2.4,82.2,80.72,"Rain, Overcast",,
"????, Bangladesh",6/6/2017,35,24,29.6,,43.3,10,,,9.2,96.83,,2.6,47,72.62,"Rain, Partially cloudy",,
"????, Bangladesh",6/7/2017,35.1,28,31.6,,46.7,1.2,,,9.2,132.96,,2.7,41.9,70.4,"Rain, Partially cloudy",,
"????, Bangladesh",6/8/2017,34.7,26.3,30.2,,44.6,8.01,,,10.3,152.38,,2.6,56.4,74.85,"Rain, Partially cloudy",,
"????, Bangladesh",6/9/2017,33,27,29.5,,42.1,17.2,,,6.9,103.29,,2.6,64.5,76.79,"Rain, Partially cloudy",,
"????, Bangladesh",6/10/2017,36,27,31,,43.2,0,,,11.4,107.5,,2.5,50.7,69.14,Partially cloudy,,
"????, Bangladesh",6/11/2017,32,25,28.6,,39.3,19.79,,,15,77.42,,2.5,74.9,79.42,"Rain, Partially cloudy",,
"????, Bangladesh",6/12/2017,26.4,25,25.6,,,203.09,,,18.3,184.17,,2.4,94.9,94.07,"Rain, Overcast",,
"????, Bangladesh",6/13/2017,32,25,28.5,,37.9,16.49,,,13.9,211.25,,2.5,79.8,80.34,"Rain, Overcast",,
"????, Bangladesh",6/14/2017,33,26,28.8,,42.4,0,,,11.4,148.33,,2.5,80.1,85.04,Overcast,,
"????, Bangladesh",6/15/2017,33,26,29.3,,40.7,0,,,11.4,136.96,,2.5,66.7,75.26,Partially cloudy,,
"????, Bangladesh",6/16/2017,29,25,26.9,,35.6,0,,,13.9,134.58,,2.5,87.9,87.68,Overcast,,
"????, Bangladesh",6/17/2017,32,26,28,,39.2,0,,,17.2,156.25,,2.4,68.6,80.38,Partially cloudy,,
"????, Bangladesh",6/18/2017,33,27,28.9,,43.8,0,,,13.9,170.42,,2.4,80.1,82.11,Overcast,,
"????, Bangladesh",6/19/2017,29.3,23.6,25.8,,37.5,74.81,,,13.9,160.5,,2.3,91.9,90.73,"Rain, Overcast",,
"????, Bangladesh",6/20/2017,32,24.9,28,,37.9,2.2,,,9.2,124.46,,2.6,81.2,78.12,"Rain, Overcast",,
"????, Bangladesh",6/21/2017,31.1,26.8,28.5,,37.8,41.89,,,17.2,135.58,,2.7,75.8,78.73,"Rain, Overcast",,
"????, Bangladesh",6/22/2017,31.7,27,29,,40.8,12.99,,,11.4,116,,2.7,73.5,80.4,"Rain, Partially cloudy",,
"????, Bangladesh",6/23/2017,34,27,30,,40.7,0,,,11.4,137.88,,2.6,60.4,72.33,Partially cloudy,,
"????, Bangladesh",6/24/2017,35.9,28,30.6,,43.6,5,,,11.4,148.33,,2.6,47.6,69.06,"Rain, Partially cloudy",,
"????, Bangladesh",6/25/2017,32.4,27,29.7,,38.5,8,,,18.3,144.17,,2.6,63.5,71.65,"Rain, Partially cloudy",,
"????, Bangladesh",6/26/2017,32.3,27,29.9,,39.2,4.62,,,17.2,138.75,,2.6,59.1,73.86,"Rain, Partially cloudy",,
"????, Bangladesh",6/27/2017,33,28,30,,39.8,4.97,,,13.9,154.83,,2.6,61.7,73.99,"Rain, Partially cloudy",,
"????, Bangladesh",6/28/2017,32.4,28,29.7,,42.3,9.6,,,11.4,145.29,,2.7,63.4,76.62,"Rain, Partially cloudy",,
"????, Bangladesh",6/29/2017,33,28,29.7,,42.4,11,,,12.8,142.83,,2.7,65.1,77.28,"Rain, Partially cloudy",,
"????, Bangladesh",6/30/2017,32.2,27,29.4,,42.6,6.4,,,17.2,154.13,,2.6,72,78.38,"Rain, Partially cloudy",,
"????, Bangladesh",7/1/2017,32,27.7,29.1,,39.2,68.8,,,16.1,160.04,,2.6,81.1,82.41,"Rain, Overcast",,
"????, Bangladesh",7/2/2017,31.1,27,28.3,,40.3,68.93,,,13.9,154.79,,2.5,85.7,85.53,"Rain, Overcast",,
"????, Bangladesh",7/3/2017,29.5,26.9,27.8,,37,66.61,,,11.4,173.71,,2.4,91.3,88.4,"Rain, Overcast",,
"????, Bangladesh",7/4/2017,29.1,25.6,27.7,,35.8,41.71,,,17.2,144.35,,2.3,80.1,87.13,"Rain, Overcast",,
"????, Bangladesh",7/5/2017,29.1,26,27.3,,35.8,0,,,12.8,148.75,,2.5,89.6,88.75,Overcast,,
"????, Bangladesh",7/6/2017,32,27,29,,39.2,0,,,13.9,153.33,,2.5,72.5,79.97,Partially cloudy,,
"????, Bangladesh",7/7/2017,31.1,27,28.6,,40.8,0,,,11.4,116.67,,2.5,71.6,83.22,Partially cloudy,,
"????, Bangladesh",7/8/2017,32,28,29.1,,39.2,0,,,13.9,160,,2.5,72.5,78.65,Partially cloudy,,
"????, Bangladesh",7/9/2017,33,28,29.4,,40.6,0,,,11.4,159.57,,2.5,68.9,75.58,Partially cloudy,,
"????, Bangladesh",7/10/2017,29,27,27.9,,34.5,0,,,13.9,148.33,,2.4,82.1,83.65,Overcast,,
"????, Bangladesh",7/11/2017,29,26,26.9,,35.6,58.76,,,11.4,127.42,,2.4,92,89.59,"Rain, Overcast",,
"????, Bangladesh",7/12/2017,31,25,27.7,,38.8,95.55,,,11.4,116.04,,2.4,84.4,84.68,"Rain, Overcast",,
"????, Bangladesh",7/13/2017,32,26,28.6,,39.2,22.18,,,13.5,132.83,,2.5,79,79.41,"Rain, Overcast",,
"????, Bangladesh",7/14/2017,33,27,29.6,,39.2,5.76,,,9.2,135.67,,2.6,74.3,74.76,"Rain, Partially cloudy",,
"????, Bangladesh",7/15/2017,34,27,30.6,,40.7,0,,,9.2,131.42,,2.6,59.5,68.17,Partially cloudy,,
"????, Bangladesh",7/16/2017,35.3,28,31.3,,42.9,4,,,9.2,147.79,,2.6,59.9,67.09,"Rain, Partially cloudy",,
"????, Bangladesh",7/17/2017,34.4,27,31,,44.2,12.47,,,9.2,151.08,,2.8,73.7,74.04,"Rain, Partially cloudy",,
"????, Bangladesh",7/18/2017,34,27.4,30.5,,43.5,7.4,,,11.4,120.63,,2.7,69.4,74.67,"Rain, Partially cloudy",,
"????, Bangladesh",7/19/2017,29,26,27.5,,36.8,18.44,,,13.9,131.38,,2.1,88.9,88.31,"Rain, Overcast",,
"????, Bangladesh",7/20/2017,28,25,26.8,,33.6,99.09,,,11.4,120.87,,2.5,94,90.02,"Rain, Overcast",,
"????, Bangladesh",7/21/2017,29,25,27.4,,35.6,41.25,,,11.4,109.75,,2.5,81.1,87.02,"Rain, Overcast",,
"????, Bangladesh",7/22/2017,32.2,27,28.8,,39.5,41.4,,,11.4,132.38,,2.6,78,79.36,"Rain, Overcast",,
"????, Bangladesh",7/23/2017,32,26.5,28,,37.9,32.37,,,11.4,148.25,,2.5,85.1,82.89,"Rain, Overcast",,
"????, Bangladesh",7/24/2017,28,26,26.9,,34.5,70.08,,,18.3,154.63,,2.5,90.2,90.17,"Rain, Overcast",,
"????, Bangladesh",7/25/2017,28,25,26.2,,32.7,68.25,,,16.1,163.08,,2.4,92.4,90.38,"Rain, Overcast",,
