time, mean_MYD08_D3_6_1_Deep_Blue_Aerosol_Optical_Depth_550_Land_Mean,Station_mean_raw_PM2.5,Average Temperature,Rain Precipitation,Wind Speed,Visibility,Cloud Cover,Relative Humidity
5/13/2017,1.25500828,59.1,29.9,0.4,11.4,2.7,68,72.09
5/14/2017,0.908940352,47.6,28.9,34.55,9.2,2.6,58.2,74.21
5/15/2017,2.80797305,31.2,28.1,54.91,16.1,2.6,76.6,78.25
5/17/2017,1.05168805,49.5,28.2,11.97,40.3,2.5,78.6,79.19
5/18/2017,0.441983611,36.7,29.2,37.08,11.4,2.6,53.6,69.8
5/20/2017,0.691311333,57,31.2,0,11.4,2.6,50,69.88
5/21/2017,0.364305759,46.2,31.2,0,13.9,2.6,54.1,69.91
5/23/2017,0.802614743,49,32,0,11.4,2.7,48.9,69.34
5/24/2017,2.48973274,46.4,32.3,0,11.4,2.7,54,69.31
5/25/2017,0.676351538,38.2,32.1,0,13.9,2.6,40.5,67.04
5/27/2017,0.529061237,55.5,29.7,2.97,8.1,2.6,66.1,74.46
5/28/2017,0.265771881,73.5,30.2,3.6,9.2,2.6,53.7,73.03
5/30/2017,0.121033102,20.6,27.6,35.4,10.3,2.5,87.3,82.86
5/31/2017,0.370316309,61.4,28.9,22.48,20.8,2.6,78.3,78.18
6/2/2017,0.192375786,33.5,27.8,46.55,17.2,2.6,87.3,79.23
6/3/2017,0.690832222,41.1,30.3,32.02,16.1,2.6,74.6,74.95
6/4/2017,0.757756221,38.1,30,7.66,19.3,2.6,67.9,76.4
6/6/2017,0.830166857,58.8,29.6,10,9.2,2.6,47,72.62
6/7/2017,0.468793153,53.6,31.6,1.2,9.2,2.7,41.9,70.4
6/9/2017,0.390241403,50.9,29.5,17.2,6.9,2.6,64.5,76.79
6/10/2017,0.620386539,37,31,0,11.4,2.5,50.7,69.14
6/12/2017,0.070556873,8.3,25.6,203.09,18.3,2.4,94.9,94.07
6/13/2017,0.708979061,35.2,28.5,16.49,13.9,2.5,79.8,80.34
6/14/2017,0.717756221,37.1,28.8,0,11.4,2.5,80.1,85.04
6/16/2017,0.121033102,20,26.9,0,13.9,2.5,87.9,87.68
6/17/2017,1.27700006,40,28,0,17.2,2.4,68.6,80.38
6/19/2017,1.12600005,44,25.8,74.81,13.9,2.3,91.9,90.73
6/20/2017,0.542117797,49.8,28,2.2,9.2,2.6,81.2,78.12
6/22/2017,1.75257035,36.1,29,12.99,11.4,2.7,73.5,80.4
6/23/2017,0.606421083,29.7,30,0,11.4,2.6,60.4,72.33
6/24/2017,0.349039184,23.8,30.6,5,11.4,2.6,47.6,69.06
6/26/2017,1.13779523,8.2,29.9,4.62,17.2,2.6,59.1,73.86
6/27/2017,0.091000004,8.3,30,4.97,13.9,2.6,61.7,73.99
6/29/2017,0.325398357,13,29.7,11,12.8,2.7,65.1,77.28
6/30/2017,0.121000004,17.2,29.4,6.4,17.2,2.6,72,78.38
7/2/2017,0.151000004,16.6,28.3,68.93,13.9,2.5,85.7,85.53
7/3/2017,0.291000004,33.3,27.8,66.61,11.4,2.4,91.3,88.4
7/4/2017,0.311000004,39.3,27.7,41.71,17.2,2.3,80.1,87.13
7/6/2017,0.196662259,29.2,29,0,13.9,2.5,72.5,79.97
7/7/2017,0.298000004,33.5,28.6,0,11.4,2.5,71.6,83.22
7/9/2017,0.268000004,26.8,29.4,0,11.4,2.5,68.9,75.58
7/10/2017,0.281000004,31.7,27.9,0,13.9,2.4,82.1,83.65
7/12/2017,0.298000004,31.9,27.7,95.55,11.4,2.4,84.4,84.68
7/13/2017,0.35997053,26.8,28.6,22.18,13.5,2.5,79,79.41
7/14/2017,0.301000014,23,29.6,5.76,9.2,2.6,74.3,74.76
7/16/2017,0.183516513,31.4,31.3,4,9.2,2.6,59.9,67.09
7/17/2017,0.313532425,25.9,31,12.47,9.2,2.8,73.7,74.04
7/19/2017,0.098658109,13.6,27.5,18.44,13.9,2.1,88.9,88.31
7/20/2017,0.138959906,22.2,26.8,99.09,11.4,2.5,94,90.02
7/22/2017,0.245312306,17.3,28.8,41.4,11.4,2.6,78,79.36
7/23/2017,0.115488654,18.9,28,32.37,11.4,2.5,85.1,82.89
7/24/2017,0.148959906,20.8,26.9,70.08,18.3,2.5,90.2,90.17
7/26/2017,0.201247322,29.9,26.7,85.63,9.2,2.4,84,90.62
7/27/2017,0.462000022,35.3,29.5,13.7,9.2,2.6,68.2,77.7
7/29/2017,0.659876887,44.3,29,11.6,6.9,2.6,72.1,82.31
7/30/2017,0.533809544,60.8,28.7,18.13,13.9,2.5,71.1,80.53
8/1/2017,0.244596251,37.6,30,38,11.4,2.6,70.7,77.35
8/2/2017,0.384596251,45.3,28.4,60.17,11.4,2.5,82.6,83.38
8/3/2017,0.452123512,52.6,28.6,207.06,11.4,2.5,76.9,84.85
8/5/2017,0.191251231,22.9,29.8,1.6,12.8,2.6,70.2,77.71
8/6/2017,0.241261232,36.8,29.4,18.76,11.4,2.6,76.9,79.32
8/8/2017,0.285312306,37.6,30.2,11.22,13.9,2.6,61.7,75.22
8/9/2017,0.225312306,30.2,30.3,9.39,11.4,2.6,68.5,75.61
8/11/2017,0.265312306,33.9,27.9,43.76,16.1,2.5,93.4,89.89
8/12/2017,0.235312306,28.2,26.9,100.66,11.4,2.1,94.7,91.9
8/13/2017,0.285312306,35,28.1,25.66,9.2,2.5,86.5,83.65
8/15/2017,0.31731792,38.2,28.3,116.52,9.2,2.5,85.5,86.92
8/16/2017,0.491235124,63.5,27.8,71.05,9.2,2.4,78.8,86.56
8/18/2017,0.317755975,25.8,29.4,0,11.4,2.6,73.7,78.88
8/19/2017,0.241251232,21,29.8,1,11.4,2.7,70.6,72.52
8/21/2017,0.332257117,43.9,29.5,17.8,11.4,2.6,65.8,77.05
8/22/2017,0.325413854,42.1,29,115.2,11.4,2.4,75.9,79.39
8/23/2017,0.17657466,24.1,28.2,176.24,11.4,2.6,72.4,85.09
8/25/2017,0.283621835,27.8,29.7,33.79,9.2,2.7,58.6,79.68
8/26/2017,0.201235123,22.5,29.9,1,11.4,2.6,62.2,75.2
8/28/2017,0.201657933,22.1,29,14.56,13.9,2.6,74.7,78.5
8/29/2017,0.388230361,27.8,29.1,40.19,11.4,2.6,61.9,77.5
8/31/2017,0.271235121,28.7,28.2,94.5,5.8,2.4,72.3,85.28
9/1/2017,0.687333366,18.5,29.2,87.12,11.4,2.6,71.1,77.99
9/2/2017,0.201512313,21.9,28.8,17.52,10,2.6,80.8,81.34
9/4/2017,0.381133351,29.5,30.3,12.55,11.4,2.7,61.4,74.42
9/5/2017,1.00296188,42.8,30.5,2,9.2,2.6,72.9,73.97
9/7/2017,0.738740981,34.2,29.8,0,8.1,2.6,75.4,75.2
9/8/2017,1.16900006,21.1,30.5,0,11.4,2.6,73.1,73.36
9/10/2017,1.57508584,23.8,27.7,61.91,11.4,2.4,81.5,85.7
9/11/2017,0.91712312,55.3,26,114.61,11.4,2.2,86,89.72
9/12/2017,0.23126502,34,28.4,15.82,6.9,2.6,66.3,80.63
9/14/2017,0.27126502,34.7,29.8,0,8.1,2.6,69.7,76.48
9/15/2017,0.326545086,57.1,29.8,0,9.2,2.6,64.2,78.31
9/17/2017,0.377000018,43,29.1,8.74,17.2,2.5,69.5,80.44
9/18/2017,0.192104122,17.2,29.2,16.37,9.2,2.6,71.7,74.59
9/20/2017,0.214152612,23,28,84.33,13.9,2.4,83.5,85.25
9/21/2017,0.450827301,27.8,28.9,7.49,11.4,2.6,62.1,79.64
9/22/2017,0.350000017,27.4,30.4,0,6.9,2.7,47,72.03
9/24/2017,0.525146131,50.8,31.1,0,9.2,2.6,45.2,73.75
9/25/2017,0.38064505,64,30.3,7,6.9,2.5,66.4,77.85
9/27/2017,0.540000026,80.6,29.4,5.59,13.9,2.5,68.4,82.34
9/28/2017,0.740133335,80.6,28.7,83.96,10.6,2.5,86.6,84.14
9/30/2017,0.213512231,36.4,27.9,39.45,9.2,2.6,75.7,85.12
10/1/2017,0.223205437,47.3,27.1,40.33,6.9,2.3,79.4,87.02
10/2/2017,0.15400083,42.1,28.5,20.71,6.9,2.6,74.1,77.88
10/4/2017,0.199782151,45.6,30.3,0,5.8,2.6,49.9,75.06
10/5/2017,0.096284036,47.8,30.5,0,9.2,2.6,56.5,74.2
10/7/2017,0.138446756,21.2,28.4,5.8,9.2,2.5,75,80.8
10/8/2017,0.227970143,13,28.1,4.74,13.9,2.6,68.5,78.51
10/10/2017,0.189925699,29,29.1,20,9.2,2.7,40.5,73.15
10/11/2017,0.164155308,43.8,30,0,11.4,2.6,39.6,70.21
10/12/2017,0.211955571,48.8,30,0,11.4,2.6,48.3,73.31
10/14/2017,0.445793156,19.3,30.3,0.4,9.2,2.8,47.9,71.07
10/15/2017,0.778869155,70.5,29.5,3,6.9,2.5,70.8,75.54
10/17/2017,0.487029952,84.6,30.1,0,9.2,2.4,35.4,69.82
10/18/2017,0.240129198,50.2,29.7,35.7,13.9,2.6,65,73.33
10/20/2017,0.113162351,14.7,24.9,107.77,16.1,1.8,92.8,93.43
10/21/2017,0.092312321,10.7,24.5,195.51,25.3,1.6,94.8,92.58
10/22/2017,0.312020354,24.5,25,6.96,13.9,2.4,69.2,82.52
10/24/2017,0.967225139,73.5,27.5,0,11.4,2.2,64.6,76.55
10/25/2017,0.784251317,96.6,26.9,0,6.9,2.2,46.8,76.33
10/27/2017,0.509865365,90.9,26.4,0,9.2,2.4,28.6,74.11
10/28/2017,0.457480964,79.8,26.1,0,6.9,2.3,27.3,72.46
10/30/2017,0.843533111,56.5,22.9,3.2,9.2,2.3,75.1,81.94
10/31/2017,0.561634107,55.4,23.7,4,6.9,2.5,35.2,73.41
11/1/2017,0.36438944,50.6,24.7,0,5.8,2.5,14.6,71.79
11/3/2017,0.150654543,65.3,26.5,0,8.1,2.5,1.2,66.31
11/4/2017,0.109751979,44.5,27,0,9.2,2.5,4.6,66.93
11/6/2017,0.108233039,60.4,26.9,0,6.9,2.6,0,67.84
11/7/2017,0.14253013,60.8,26.9,0,6.9,2.5,1.9,66.84
11/9/2017,0.204160859,72.8,25.8,0,9.2,2.6,5.9,68.94
11/10/2017,0.163029522,71.2,25.8,0,5.8,2.5,4.1,67.85
11/11/2017,0.145052179,75.5,25.9,0,6.9,2.5,21.4,64.11
11/13/2017,0.113948868,61,26.9,0,6.9,2.6,43.2,59.41
11/14/2017,0.080427374,52.2,26.3,0,5.8,2.6,50,64.21
11/16/2017,0.120427374,28,22.6,13.65,9.2,2.4,88.6,83.83
11/17/2017,0.244952882,32,25.6,5.09,6.9,2.5,72.8,79.25
11/19/2017,0.260753207,71,26.4,0,9.2,2.3,42.9,74.88
11/20/2017,0.511162357,115.2,25.9,0,9.2,2.4,1.2,69.28
11/21/2017,0.481309302,142.1,24.2,0,13.9,2.4,0.2,66.72
11/23/2017,0.719565898,177.7,22.4,0,9.2,2,7.8,66.33
11/24/2017,0.538392099,147.1,23,0,9.2,2.1,2.7,69.77
11/26/2017,0.445216422,145.8,22.4,0,6.9,2.3,0,66.01
11/27/2017,0.581784881,127.8,23.3,0,10.3,2.3,8,67.77
11/29/2017,0.628149081,241.5,21.6,0,6.9,1.3,7.5,81.49
11/30/2017,0.300466226,148.7,22.2,0,6.9,1.5,5.4,73.71
12/1/2017,0.166160223,129.2,21.9,0,5.8,2.1,0.1,71.06
12/3/2017,0.222791974,105,22.8,0,5.8,2.2,2.8,64.8
12/4/2017,0.258035176,116.1,22.1,0,5.8,2.1,13.4,68.8
12/6/2017,0.262284959,122.8,21.6,0,6.9,2.4,26.7,67.58
12/7/2017,0.148759681,119.5,22.6,0,6.9,2.4,25.4,64.83
12/9/2017,0.123428126,42.1,21.7,13.62,11.4,2.1,90.1,85.77
12/10/2017,0.127333339,14.2,22.2,71.28,10.3,2.4,92.5,89.33
12/11/2017,0.18501358,35.1,23.1,9.05,9.2,2.3,79.2,87.76
12/13/2017,0.97893049,208.3,23.6,0,5.8,1.6,15.7,79.63
12/14/2017,0.494687233,203.1,22.9,0,11.4,1.7,16.7,75.31
12/16/2017,0.533432312,149,20.1,0,5.8,2.1,0,68.09
12/17/2017,0.577966206,187.6,20.2,0,5.8,1.1,27.2,83.27
12/19/2017,0.357154478,133.5,19,0,8.1,1,65.1,87.63
12/20/2017,0.342558424,154.4,19.5,0,5.2,0.6,52.3,87.45
12/21/2017,0.329953118,154,19.7,0,6.9,1.3,31.2,78.78
12/23/2017,0.58857655,157,21.4,0,5.8,1.7,23.9,74.65
12/24/2017,0.504931404,182.6,21.5,0,5.8,1.6,23.5,75.89
12/26/2017,0.46290632,162.1,21.4,0,10.3,1.6,0,75.9
12/27/2017,0.298635704,176.5,21.2,0,9.2,1.6,0,77.23
12/29/2017,0.182183799,164.6,20.5,0,6.9,1.2,30,79.9
12/30/2017,0.142207362,125,21.6,0,8.1,1.8,15.6,72.93
12/31/2017,0.158852938,143.3,21.2,0,5.8,2.2,6.8,66.33
1/2/2018,0.455336495,169,21.1,0,8.1,1.5,49.3,73.47
1/3/2018,0.666041125,146.2,19.2,0,11.4,1.6,18.4,69.74
1/8/2018,0.394121019,204.8,12.8,0,11.4,1.3,1.2,76.88
1/9/2018,0.371788386,195.8,15.3,0,8.1,1.4,4.2,74.27
1/11/2018,0.937516804,257,14.1,0,9.2,0.6,24.3,85.93
1/12/2018,1.27792719,248.7,15,0,6.9,0.7,22.8,82.17
1/13/2018,1.46178072,253.6,15.7,0,6.9,0.7,39.5,85.72
1/15/2018,0.852919696,217.9,15.3,0,5.8,0.7,31,83.4
1/16/2018,0.816006249,207.6,17.6,0,8.1,1.3,20,74.67
1/18/2018,0.47852097,160.6,19.8,0,6.9,1.4,27.6,74.78
1/19/2018,0.441511073,156.4,19.7,0,9.2,2,0,69.09
1/21/2018,0.595222752,212,18.3,0,9.2,1.3,6.3,73.9
1/22/2018,0.521427589,220.5,18.3,0,6.9,1.1,32.7,77.98
1/23/2018,0.489175883,200.2,20.3,0,8.1,1.4,22.3,75.93
1/25/2018,0.818895798,194.1,19.9,0,6.9,2,5,66.42
1/26/2018,0.875544509,126.6,19.8,0,9.2,2.3,0,61.85
1/28/2018,0.708101267,176.7,17.9,0,9.2,1.8,0,66.97
1/29/2018,0.676979711,234,18,0,10.3,1.7,0,67.26
1/31/2018,1.07428608,207.9,19.2,0,9.2,1.4,7,72.5
2/1/2018,1.22119569,194.6,19.9,0,5.8,1.8,0,65.69
2/2/2018,1.96053816,285.7,20.2,0,6.9,1.3,17.7,75.85
2/4/2018,0.916647842,216.1,21.2,0,8.1,1.5,9.8,72.69
2/5/2018,0.777384556,133.5,23.2,0,6.9,1.6,29.4,75.83
2/7/2018,0.668074803,281,21.7,0,10.3,1.7,22,69.71
2/8/2018,0.637578197,109.8,22.5,0,9.2,2.4,56.5,57.45
2/10/2018,1.37299823,114,23.6,2,10.3,2,39.8,63.81
2/11/2018,0.563158401,109,23,0,10.3,2.4,34,49.22
2/12/2018,0.310254728,145.7,22.9,0,9.2,2.2,12.7,55.98
2/14/2018,0.470042006,107.5,23,0,8.1,2.4,34,56.64
2/15/2018,0.363413925,123.3,22.6,0,9.2,2.2,0,58.68
2/17/2018,0.566467251,157.1,22.3,0,8.1,2,0,65.38
2/18/2018,0.736969731,210.8,22.5,0,6.9,2,2.9,64.22
2/20/2018,0.739966737,205.4,24.8,0,8.1,2,21.1,59.28
2/21/2018,0.79667552,172.6,25.4,0,8.1,2,17.1,61.1
2/22/2018,0.828646022,166,25.8,0,6.9,2,18.8,62.79
2/24/2018,0.713304501,115.1,26.3,0,5.8,2.2,0.1,68.19
2/25/2018,0.757904602,147.2,26.8,0,8.1,2,5.6,63.15
2/27/2018,0.650578634,107.9,25.1,14,8.1,2.2,39.5,74.54
2/28/2018,0.55637025,100.4,26.2,0,8.1,2.4,30.1,64.19
3/2/2018,0.875639448,163.5,27,0,6.9,2,12.5,62.18
3/3/2018,0.599392184,84,27.7,0,11.4,2.4,8.2,58.58
3/4/2018,0.446956597,85,28.5,0,13.9,2.3,5.7,61.61
3/6/2018,0.740519712,110.1,28.1,0,8.1,2.5,26.3,46.4
3/7/2018,0.311654406,105,27.2,0,9.2,2.5,5.8,46.85
3/9/2018,0.513732831,128.8,25.8,0,11.4,2.4,11.3,55.67
3/10/2018,0.479873494,156,25.7,0,12.8,2.3,3.8,57.64
3/12/2018,0.67519398,143.8,27,0,9.2,2.4,17.7,58.17
3/13/2018,0.582643779,64,27.4,0,11.4,2.5,33.2,62.79
3/14/2018,0.768919844,123.2,26.6,0,8.1,2.4,23.4,68.53
3/16/2018,0.985941075,64.2,28.1,1,10.3,2.5,71.3,66.85
3/17/2018,0.76355319,89.6,28.3,0.6,9.2,2.5,35.3,56.56
3/19/2018,0.411850169,136,27.9,0,11.4,2.2,11.4,62.09
3/20/2018,0.466059883,109,27.8,0,10.3,2.4,2.9,55.6
3/22/2018,0.907623323,155,28,0,10.3,2.4,13,57.36
3/23/2018,1.0872245,126.8,28.8,0,10.3,2.4,18,61.88
3/24/2018,1.59294003,79.5,29.2,0,9.2,2.7,48.8,67.98
3/26/2018,1.69742059,94.1,27.4,15.6,16.1,2.5,68.5,70.43
3/27/2018,1.30015095,88,27,4,9.2,2.5,41,71.05
3/29/2018,1.15198348,68,29.2,2.5,11.4,2.5,69.5,69.43
3/30/2018,0.711838097,55.5,26.2,0.19,18.3,2.5,62.6,72.18
4/1/2018,0.404682714,87.4,27.7,0,6.9,2.7,34.1,58.35
4/2/2018,0.480000023,81,26,0,17.2,2.5,61,65.63
4/3/2018,0.784823749,127.4,28.6,0,8.1,2.4,44.5,64.17
4/5/2018,0.831373675,138.3,27.8,9,13.9,2.4,44.6,67.85
4/6/2018,1.00502264,56.9,26,4.1,13.9,2.5,80.2,72.57
4/8/2018,0.502422946,70,25.8,19.07,12.8,2.4,77.2,74.98
4/9/2018,2.27219231,86.7,28.1,0,12.8,2.4,52.2,68.28
4/11/2018,1.09344966,84.8,28.2,0,10.3,2.5,60.2,67.16
4/12/2018,0.61778986,51.6,27.1,17.62,23,2.5,41.7,66.92
4/13/2018,0.422555386,57.7,28.2,13.47,16.1,2.6,45.6,68.94
4/15/2018,0.39066462,71.1,28.1,11.81,9.2,2.6,31.7,64.43
4/16/2018,0.954024733,71.9,29.4,0,13.9,2.7,35.1,65.85
4/18/2018,0.469951591,81.4,27.6,41.52,14.7,2.5,61.1,71.72
4/19/2018,0.60702242,37.1,26.9,49.58,18.3,2.6,80.5,74.49
4/21/2018,1.98020863,64.9,26.7,22.25,17.2,2.5,86.8,80.94
4/22/2018,1.01628473,70.3,28.1,11.81,16.1,2.3,87.6,79.6
4/23/2018,0.37948503,49,28.9,5.7,8.1,2.5,63.5,74.08
4/26/2018,0.762497643,49,26.4,36.04,13.9,2.4,76.8,67.11
4/27/2018,0.521535867,55.2,26.5,63.55,18.3,2.7,42.4,69.35
4/29/2018,0.642965468,37,23.9,87.98,16.1,2.3,84,83.3
4/30/2018,0.618000029,31.8,23.2,83.8,13.9,2.3,82.1,83.72
5/2/2018,0.215216123,38.4,25.7,23.85,17.2,2.4,74,81.74
5/3/2018,0.434316865,50,26,5.4,10.3,2.5,71.5,77.02
5/4/2018,0.495267456,57.3,25.6,80.6,13.9,2.3,75.4,80.32
5/6/2018,1.79716038,34.8,28.4,21.6,17.2,2.5,83.8,76.69
5/7/2018,1.75104645,35.8,27.2,4.61,32.2,2.6,93,81.26
5/9/2018,1.5099515,38,28.3,16,17.2,2.5,89,82.49
5/10/2018,0.47765871,27.5,25.5,25.74,11.4,2.5,88.2,83.13
5/12/2018,0.37336565,47.2,27.1,15.41,9.2,2.6,35.7,70.07
5/13/2018,1.14138942,72.8,26.8,44.13,20.8,2.4,71.6,79.65
5/14/2018,0.56386874,47.2,27.7,14,11.4,2.6,75.7,71.57
5/16/2018,0.274000013,60.5,24.3,45.51,17.2,2.3,91.2,81.32
5/17/2018,0.528651942,54.3,26.8,6.9,9.2,2.5,85.1,77.63
5/19/2018,0.843973045,39.6,27.3,0,11.4,2.4,72.3,77.55
5/20/2018,0.737806183,44.7,26.7,0,12.8,2.3,77.6,81.7
5/22/2018,0.636961143,54.6,27.1,0,11.4,2.4,90.4,85.29
5/23/2018,0.39275941,39.3,26.5,63.95,13.9,2.4,88.9,86.09
5/24/2018,0.37336565,44.5,28.4,8.41,12.8,2.6,87.7,80.84
5/26/2018,0.74979482,35.7,29.8,42.5,15,2.6,76.2,76.84
5/27/2018,0.368593522,20.8,31.4,0,11.4,2.6,42.4,72.33
