time, mean_MYD08_D3_6_1_Deep_Blue_Aerosol_Optical_Depth_550_Land_Mean,Station_mean_raw_PM2.5,Maximum Temperature,Minimum Temperature,Average Temperature,Heat Index,Rain Precipitation,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
2017-01-26,0.227642987,225.5,30,16.7,22.9,28.5,0,6.9,77.96,,2.1,3.1,58.42,Clear
2017-01-27,0.259109115,285.8,26.7,17,22.2,26.9,0,8.1,109.57,,1.8,55.2,65.61,Partially cloudy
2017-01-28,0.741903132,192.2,26.8,17.8,22,27.1,0,9.2,137.54,,1.8,29,67.63,Partially cloudy
2017-01-29,0.40848824,140.8,26,15.9,21.1,,0,15,288.96,,2.5,0.7,59.19,Clear
2017-01-30,0.61462759,125.7,26,16,20.8,,0,9.2,184.33,,2.2,3.7,62.49,Clear
2017-01-31,0.722675084,177.1,26,16.5,20.5,,0,9.2,153.5,,2,0,64.01,Clear
2017-02-01,1.02244379,200.8,27,15.7,20.9,26.5,0,9.2,168.13,,1.9,0,63.87,Clear
2017-02-02,0.597092853,171.5,27.1,16,21,26.7,0,13.9,266.58,,2,0,61.76,Clear
2017-02-03,0.569571652,232.6,26,15.7,19.9,,0,9.2,306.75,,1.8,0.1,71.47,Clear
2017-02-04,0.327669688,170.3,28.1,16.8,21.6,27.8,0,8.3,174.88,,1.8,5.6,67.07,Clear
2017-02-05,0.167726924,120.3,31.6,16.3,23.3,29.8,0,9.2,83.88,,2.4,0,57.8,Clear
2017-02-06,0.28051778,162.5,30.1,18,23.8,29.2,0,9.2,93.96,,2.2,2.2,55.29,Clear
2017-02-07,0.531434717,122.6,29,19,23.3,28.6,0,10.3,212.18,,2.4,0.2,58.03,Clear
2017-02-08,0.358763589,153.3,29,18,22.9,27.8,0,10.3,290.13,,2.4,0,51.76,Clear
2017-02-09,0.436136556,146.8,30,16.7,22.3,28.8,0,11.4,158.08,,2.3,0,55.65,Clear
2017-02-10,0.639984515,248.2,29,16.7,22.2,27.9,0,6.9,101.13,,2.2,0,58.01,Clear
2017-02-11,0.911015187,181.4,28.1,17.8,22.8,28.6,0,6.9,72.13,,2.1,15,61.22,Clear
2017-02-12,0.813906891,122.9,29,18.1,23.7,28.3,0,9.2,212.58,,2.4,4.7,53.69,Clear
2017-02-13,0.865191796,167.9,29,19.7,23.9,27.6,0,10.3,179.17,,2.4,2.4,47.46,Clear
2017-02-14,0.993542741,218,30,18.5,24.1,29,0,6.9,125.29,,2.3,5.6,57.33,Clear
2017-02-15,0.496146266,137.4,30,18.8,23.9,28.6,0,9.2,135,,2.1,0.5,58.53,Clear
2017-02-16,0.552730494,211.5,30,18.8,23.8,28.8,0,10.3,243.25,,2.2,1.5,57.46,Clear
2017-02-17,0.565857229,186.6,30,18,23.5,29.4,0,6.9,161.58,,2.3,0,56.75,Clear
2017-02-18,0.823526172,210.8,30,18.8,24.2,29.2,0,9.2,137.33,,2,1.7,58.45,Clear
2017-02-19,1.69026457,265.2,29.1,20.7,24.5,28.4,0,7.3,129.32,,2.2,24.1,60.52,Clear
2017-02-20,2.19789339,179.8,28,20.9,24.4,29.7,0,11.4,144.96,,1.7,30.7,72.37,Partially cloudy
2017-02-21,0.739587966,93.7,31,21,26.4,34.6,0,16.1,182.96,,2.2,45.5,68.7,Partially cloudy
2017-02-22,0.577307917,117.5,29.2,23,26.2,30.3,0,13.9,190.67,,2.4,56.2,66.9,Partially cloudy
2017-02-23,0.557765544,62,29,23,25.5,28.4,5.4,12.8,194.63,,2.4,56.2,63.48,"Rain, Partially cloudy"
2017-02-24,0.31119756,32.5,30,19.3,24.1,28.6,0,11.4,200.75,,2.5,0.4,46.72,Clear
2017-02-25,0.325697954,3.6,30,17.9,24.1,28.5,0,11.4,165.96,,2.4,0,47.83,Clear
2017-02-26,0.404341084,3.1,30,16.7,23.5,28.6,0,11.4,112.74,,2.5,0,48.62,Clear
2017-02-27,0.506284761,144.8,31,18.6,24.4,29.9,0,13.9,184.96,,2.3,0,50.71,Clear
2017-02-28,0.460709412,179.8,29.2,19,24.2,28.1,0,15.7,151.88,,2.3,0,49.79,Clear
2017-03-01,0.516622133,182.3,31,20,24.9,29.5,0,9.2,97.96,,2.5,0,46.84,Clear
2017-03-02,0.422798118,169.8,32.1,20,25.6,30.6,0,11.4,154.88,,2.2,0,54.21,Clear
2017-03-03,0.768709744,100,33,21.5,26.7,32.1,0,11.4,180.29,,2.4,15.6,57.29,Clear
2017-03-04,0.631076952,83.3,30.1,22.8,26.2,29.5,0,11.4,217.92,,2.6,47,57.84,Partially cloudy
2017-03-05,1.26620235,53.3,30.1,22.9,25.7,31.9,3.2,11.4,181.92,,2.5,73.5,71.03,"Rain, Partially cloudy"
2017-03-06,0.755899827,69,29.7,21.3,24.3,29.7,17.74,9.2,108.95,,2.5,57.9,72.06,"Rain, Partially cloudy"
2017-03-07,0.521165483,114.7,30.6,21,25.4,30.6,0,6.9,64.38,,2,25.3,69.06,Partially cloudy
2017-03-08,0.584974319,104.8,29.8,21.1,24.5,29.6,24.91,13.9,114.33,32.2,2.3,56.6,64.69,"Rain, Partially cloudy"
2017-03-09,1.2451125,68.6,26.3,19,23.4,,0,9.2,100.33,,2.5,40.4,68.14,Partially cloudy
2017-03-10,2.31702143,81.3,31,21.8,25.1,31.2,18.5,20.5,115.79,,2.2,62,71.9,"Rain, Partially cloudy"
2017-03-11,1.59100008,47.5,26.6,20,22.4,,67.02,11.4,100.26,,2.3,84.1,83.9,"Rain, Overcast"
2017-03-12,1.08860426,88.8,30,21.6,24.8,30.3,19.48,11.4,158.25,,2.4,70,67.05,"Rain, Partially cloudy"
2017-03-13,0.343274394,89,30,19.7,24.3,28.2,0,11.4,192.88,,2.6,3.3,51.38,Clear
2017-03-14,0.349538412,81.3,30,19.6,24.3,28.7,0,13.9,106.17,,2.7,0,48.34,Clear
2017-03-15,0.362008153,118.6,31,18.4,24.5,29.5,0,11.4,129.21,,2.7,8.6,47.43,Clear
2017-03-16,0.312068415,140.8,30.5,17.8,24,29.2,0,13.9,118.33,,2.4,0,51.36,Clear
2017-03-17,0.487453155,176.8,32,18.1,25.4,30.3,0,10.3,115.83,,2.5,0,49.29,Clear
2017-03-18,1.10572368,68,29,21,24.1,29.5,30,13.9,147.88,,2.5,60.3,69.65,"Rain, Partially cloudy"
2017-03-19,0.412205721,106.2,30,18.1,24.1,29.7,8.4,9.2,120.83,,2.5,40.3,59.44,"Rain, Partially cloudy"
2017-03-20,0.451389465,59.6,24,18,21.2,,13.92,13.9,72.63,,2.4,65.5,75.26,"Rain, Partially cloudy"
2017-03-21,0.688699511,101,28.2,18,22.6,28,1.2,11.4,113.83,,2.5,41.7,64.37,"Rain, Partially cloudy"
2017-03-22,0.782214533,109.8,30,19,24.6,29.4,0,9.2,102.63,,2.5,31.5,60.59,Partially cloudy
2017-03-23,1.1341439,121.8,30.4,21,25.9,32.4,0,9.2,87.75,,2.4,50.7,67.39,Partially cloudy
2017-03-24,1.24434561,121.9,31.1,23,27.3,32.8,0,10.3,126.96,,2.6,36.9,63.25,Partially cloudy
2017-03-25,0.809804448,55.9,27.3,20,24.5,29.5,12.79,9.2,125.54,,2.4,58,73.52,"Rain, Partially cloudy"
2017-03-26,0.874595584,76.3,31,19,24.8,35.5,0,6.9,70.29,,2.5,62.3,72.06,Partially cloudy
2017-03-27,0.770276258,78,32,23,27,35.8,0,13.9,151.29,,2.5,69.5,72.11,Partially cloudy
2017-03-28,0.967242623,55.7,29.8,24,26.8,33,0,11.4,141.25,,2.4,65.7,76.96,Partially cloudy
2017-03-29,1.13774161,50.6,29.1,23,26.1,33.6,31.49,13.4,154.92,,2.4,76.3,80.48,"Rain, Overcast"
2017-03-30,0.490506839,32.5,32.1,26,28.6,36.8,0,18.3,187.42,,2.5,76,72.24,Overcast
2017-03-31,0.815034484,45.3,34,26,29.3,39.4,4.7,17.2,184.29,,2.6,63.9,70.26,"Rain, Partially cloudy"
2017-04-01,0.390310883,33.9,34,26,29.2,38.3,18,15,193.21,,2.7,64.7,69.02,"Rain, Partially cloudy"
2017-04-02,0.678231353,45.8,33,26,28.9,38.1,0,20.8,181.67,,2.6,71.1,70.26,Partially cloudy
2017-04-03,0.569474227,40.2,33.1,25.9,28.7,38.2,0,23,173.08,34.4,2.6,71.2,69.91,Partially cloudy
2017-04-04,2.3552822,36,32,22.2,26.4,36.8,26.7,13.9,109.96,,2.6,81.2,71.14,"Rain, Overcast"
2017-04-05,0.604350006,44.6,29,22,25.1,33.6,43.73,17.2,118.63,,2.6,66,80.71,"Rain, Partially cloudy"
2017-04-06,2.72000013,58.8,29.9,20,24.9,33.9,31,11.4,89,,2.6,71.1,78.8,"Rain, Partially cloudy"
2017-04-07,1.00028248,67.6,33.4,24,29,39.3,7,11.4,143.17,,2.4,63.1,72.6,"Rain, Partially cloudy"
2017-04-08,0.927571515,61.7,34,26.1,29.6,39.4,0,11.4,188.42,,2.6,51.7,70.35,Partially cloudy
2017-04-09,0.837503889,68.9,34,26,29.6,45.3,0,11.4,207.42,,2.6,60,72.15,Partially cloudy
2017-04-10,0.357778483,67.6,35.1,26.8,30,39.3,0,11.4,235.5,,2.6,31.1,64.51,Partially cloudy
2017-04-11,0.438552965,74.2,35.2,26.9,30.4,39.3,0,11.4,220.79,,2.7,22.9,58.65,Clear
2017-04-12,0.318879614,82,35,26,29.9,37.9,0,11.4,186.38,,2.6,41.5,65.08,Partially cloudy
2017-04-13,0.450171755,129.8,36,25,30,38.9,0,9.2,147.39,,2.7,1.4,58.98,Clear
2017-04-14,0.565691909,149.9,35.6,24.1,30.2,35.4,0,11.4,111.58,,2.6,5.5,55.11,Clear
2017-04-15,0.846242652,63.3,34.2,25.9,29.3,37.3,0,11.4,166.88,,2.6,36.2,63.17,Partially cloudy
2017-04-16,0.425147754,34.5,31,23,26.4,31.4,12,13.9,60.21,,2.6,39.2,62.76,"Rain, Partially cloudy"
2017-04-17,0.219747807,78.1,34.4,23.5,28.7,36.1,0,11.4,212.96,,2.7,3.4,56.56,Clear
2017-04-18,1.51625889,61.4,34,24.9,29.5,40.6,0,13.9,176.75,,2.6,32.4,63.24,Partially cloudy
2017-04-19,1.00893755,36,34,23,28.3,41.1,82.12,20.3,190,34.4,2.4,78,75.53,"Rain, Overcast"
2017-04-20,0.90200003,41.8,29.1,22.6,25.4,32.1,14.12,18.3,140.67,28.9,2.5,65.7,78.63,"Rain, Partially cloudy"
2017-04-21,0.83700004,45.3,27,24,25.4,29.5,19.33,17.2,126.75,,2.5,83.4,80.33,"Rain, Overcast"
2017-04-22,1.70300008,32.5,24.5,21,22.9,,77.21,13.9,137.92,,2.4,86.9,88.78,"Rain, Overcast"
2017-04-23,0.507973171,56,28.4,20.9,23.9,31.7,24.97,25.3,119.5,,2.4,90.4,86.64,"Rain, Overcast"
2017-04-24,0.502850128,44.4,24.1,21,23.1,,66.28,24.2,154.33,,2.4,90,86.72,"Rain, Overcast"
2017-04-25,0.706059938,64.5,33.7,23,27.5,42.2,44,16.1,163.25,36.9,2.5,75.2,79.49,"Rain, Overcast"
2017-04-26,0.330950273,71,34.1,23.2,28.8,42.8,37.6,15,172.96,,2.6,57.5,75.53,"Rain, Partially cloudy"
2017-04-27,0.56152503,58.3,34.1,26.1,30,41,0,13.9,183.54,,2.6,80.1,73.17,Overcast
2017-04-28,0.607080942,64,34,26,29.9,41.6,0,13.9,154.79,,2.6,57.9,73.2,Partially cloudy
2017-04-29,0.679328227,43.5,33.7,23,28.2,39.5,9.72,40.3,147.33,,2.5,60.5,72.74,"Rain, Partially cloudy"
2017-04-30,0.942311933,59.7,33.1,23,28.1,39.9,3.51,28.9,168.75,,2.6,48.5,71.2,"Rain, Partially cloudy"
2017-05-01,0.791067163,40,33,22,26.9,36,18.26,15.9,153.83,28.9,2.5,68.3,70.84,"Rain, Partially cloudy"
2017-05-02,0.387123257,52.5,32.1,21.6,27,34.2,50.11,15,112.08,25.3,2.5,46.4,69.45,"Rain, Partially cloudy"
2017-05-03,0.536841216,91.1,34.7,26,29.7,39.4,0,11.4,93.54,,2.5,41.4,67.94,Partially cloudy
2017-05-04,0.586566389,60.7,34,26,29.4,38.4,0,17.2,136.75,,2.6,26.7,67.27,Partially cloudy
2017-05-05,0.456854971,59.1,34.6,27,30.3,40.9,0,11.4,160.71,,2.6,49.5,68.2,Partially cloudy
2017-05-06,0.91425694,40.2,33.3,26,30.1,42.1,0,13.9,173.96,,2.6,61.5,70,Partially cloudy
2017-05-07,0.477184003,36,34,24,29.4,39.6,0,12.8,146.46,,2.6,62.1,70.37,Partially cloudy
2017-05-08,0.980748724,45.5,34.4,27.6,30.9,40,0,11.4,164.63,,2.6,67,65.28,Partially cloudy
2017-05-09,1.60619485,40.6,31,25,27.5,37.7,23.24,18,144.58,,2.6,67.9,77.54,"Rain, Partially cloudy"
2017-05-10,0.606688318,81.5,34,23.9,28.2,39.4,4,8.1,71.21,,2.6,57.5,74.24,"Rain, Partially cloudy"
2017-05-11,1.00720671,43.8,35,27,30.2,40.6,0,11.4,160.71,,2.6,57.7,68.25,Partially cloudy
2017-05-12,0.216581397,57.7,33.9,26.7,29.8,41,0.5,11.4,58.75,,2.7,62,70.95,"Rain, Partially cloudy"
2017-05-13,1.25500828,59.1,33.6,27,29.9,38.6,0.4,11.4,91.3,,2.7,68,72.09,"Rain, Partially cloudy"
2017-05-14,0.908940352,47.6,32.2,25.6,28.9,39.1,34.55,9.2,153.46,,2.6,58.2,74.21,"Rain, Partially cloudy"
2017-05-15,2.80797305,31.2,31.8,24,28.1,37.7,54.91,16.1,161.75,40.3,2.6,76.6,78.25,"Rain, Overcast"
2017-05-16,0.552883425,37.5,30.1,22,25.6,34.6,119.27,13.9,163.04,,2.4,79.6,79.47,"Rain, Overcast"
2017-05-17,1.05168805,49.5,32,25,28.2,39.3,11.97,40.3,108.25,,2.5,78.6,79.19,"Rain, Overcast"
2017-05-18,0.441983611,36.7,33.8,24,29.2,40,37.08,11.4,230.92,,2.6,53.6,69.8,"Rain, Partially cloudy"
2017-05-19,0.3109471,57.1,35.1,28,30,45.1,0,18.3,134.38,,2.7,67.6,74.73,Partially cloudy
2017-05-20,0.691311333,57,35.7,27,31.2,44.9,0,11.4,164.63,,2.6,50,69.88,Partially cloudy
2017-05-21,0.364305759,46.2,35.6,27,31.2,46.7,0,13.9,144.38,,2.6,54.1,69.91,Partially cloudy
2017-05-22,0.521630487,48,36.1,28,32.1,46.7,0,11.4,191.54,,2.6,52.4,69.24,Partially cloudy
2017-05-23,0.802614743,49,36.3,28,32,43.4,0,11.4,156.17,,2.7,48.9,69.34,Partially cloudy
2017-05-24,2.48973274,46.4,36,29.7,32.3,45.6,0,11.4,189.33,,2.7,54,69.31,Partially cloudy
2017-05-25,0.676351538,38.2,35.1,29,32.1,43.6,0,13.9,184.08,,2.6,40.5,67.04,Partially cloudy
2017-05-26,0.681932468,36.2,34.1,26.7,30.8,43.5,1.08,11.4,144.92,,2.6,61.9,72.82,"Rain, Partially cloudy"
2017-05-27,0.529061237,55.5,34.1,26,29.7,41.6,2.97,8.1,105.54,,2.6,66.1,74.46,"Rain, Partially cloudy"
2017-05-28,0.265771881,73.5,34.4,27.8,30.2,44.6,3.6,9.2,101.75,,2.6,53.7,73.03,"Rain, Partially cloudy"
2017-05-29,0.366836309,60.4,34.4,27.9,30,42.2,29.15,11.4,135.79,,2.6,68.2,74.47,"Rain, Partially cloudy"
2017-05-30,0.121033102,20.6,30.2,26,27.6,36.2,35.4,10.3,177.83,,2.5,87.3,82.86,"Rain, Overcast"
2017-05-31,0.370316309,61.4,34,25.9,28.9,43.7,22.48,20.8,153,,2.6,78.3,78.18,"Rain, Overcast"
2017-06-01,0.206875786,36.5,30,25.8,26.7,38.8,44.87,13.9,140.92,,2.6,86.9,86.65,"Rain, Overcast"
2017-06-02,0.192375786,33.5,33,24.9,27.8,39.3,46.55,17.2,187.71,,2.6,87.3,79.23,"Rain, Overcast"
2017-06-03,0.690832222,41.1,34.4,24.8,30.3,45.1,32.02,16.1,175.17,,2.6,74.6,74.95,"Rain, Partially cloudy"
2017-06-04,0.757756221,38.1,33.2,27,30,46.2,7.66,19.3,158.83,,2.6,67.9,76.4,"Rain, Partially cloudy"
2017-06-05,0.653710763,42.2,31.7,25,27.2,40.4,14.21,28.9,167.67,,2.4,82.2,80.72,"Rain, Overcast"
2017-06-06,0.830166857,58.8,35,24,29.6,43.3,10,9.2,96.83,,2.6,47,72.62,"Rain, Partially cloudy"
2017-06-07,0.468793153,53.6,35.1,28,31.6,46.7,1.2,9.2,132.96,,2.7,41.9,70.4,"Rain, Partially cloudy"
2017-06-08,0.733989621,67.7,34.7,26.3,30.2,44.6,8.01,10.3,152.38,,2.6,56.4,74.85,"Rain, Partially cloudy"
2017-06-09,0.390241403,50.9,33,27,29.5,42.1,17.2,6.9,103.29,,2.6,64.5,76.79,"Rain, Partially cloudy"
2017-06-10,0.620386539,37,36,27,31,43.2,0,11.4,107.5,,2.5,50.7,69.14,Partially cloudy
2017-06-11,0.090556873,14,32,25,28.6,39.3,19.79,15,77.42,,2.5,74.9,79.42,"Rain, Partially cloudy"
2017-06-12,0.070556873,8.3,26.4,25,25.6,,203.09,18.3,184.17,,2.4,94.9,94.07,"Rain, Overcast"
2017-06-13,0.708979061,35.2,32,25,28.5,37.9,16.49,13.9,211.25,,2.5,79.8,80.34,"Rain, Overcast"
2017-06-14,0.717756221,37.1,33,26,28.8,42.4,0,11.4,148.33,,2.5,80.1,85.04,Overcast
2017-06-15,0.656421083,25.9,33,26,29.3,40.7,0,11.4,136.96,,2.5,66.7,75.26,Partially cloudy
2017-06-16,0.121033102,20,29,25,26.9,35.6,0,13.9,134.58,,2.5,87.9,87.68,Overcast
2017-06-17,1.27700006,40,32,26,28,39.2,0,17.2,156.25,,2.4,68.6,80.38,Partially cloudy
2017-06-18,1.76257035,36.2,33,27,28.9,43.8,0,13.9,170.42,,2.4,80.1,82.11,Overcast
2017-06-19,1.12600005,44,29.3,23.6,25.8,37.5,74.81,13.9,160.5,,2.3,91.9,90.73,"Rain, Overcast"
2017-06-20,0.542117797,49.8,32,24.9,28,37.9,2.2,9.2,124.46,,2.6,81.2,78.12,"Rain, Overcast"
2017-06-21,0.650023244,47.8,31.1,26.8,28.5,37.8,41.89,17.2,135.58,,2.7,75.8,78.73,"Rain, Overcast"
2017-06-22,1.75257035,36.1,31.7,27,29,40.8,12.99,11.4,116,,2.7,73.5,80.4,"Rain, Partially cloudy"
2017-06-23,0.606421083,29.7,34,27,30,40.7,0,11.4,137.88,,2.6,60.4,72.33,Partially cloudy
2017-06-24,0.349039184,23.8,35.9,28,30.6,43.6,5,11.4,148.33,,2.6,47.6,69.06,"Rain, Partially cloudy"
2017-06-25,0.176233827,10.4,32.4,27,29.7,38.5,8,18.3,144.17,,2.6,63.5,71.65,"Rain, Partially cloudy"
2017-06-26,1.13779523,8.2,32.3,27,29.9,39.2,4.62,17.2,138.75,,2.6,59.1,73.86,"Rain, Partially cloudy"
2017-06-27,0.091000004,8.3,33,28,30,39.8,4.97,13.9,154.83,,2.6,61.7,73.99,"Rain, Partially cloudy"
2017-06-28,0.101000004,11.5,32.4,28,29.7,42.3,9.6,11.4,145.29,,2.7,63.4,76.62,"Rain, Partially cloudy"
2017-06-29,0.325398357,13,33,28,29.7,42.4,11,12.8,142.83,,2.7,65.1,77.28,"Rain, Partially cloudy"
2017-06-30,0.121000004,17.2,32.2,27,29.4,42.6,6.4,17.2,154.13,,2.6,72,78.38,"Rain, Partially cloudy"
2017-07-01,0.161000004,15,32,27.7,29.1,39.2,68.8,16.1,160.04,,2.6,81.1,82.41,"Rain, Overcast"
2017-07-02,0.151000004,16.6,31.1,27,28.3,40.3,68.93,13.9,154.79,,2.5,85.7,85.53,"Rain, Overcast"
2017-07-03,0.291000004,33.3,29.5,26.9,27.8,37,66.61,11.4,173.71,,2.4,91.3,88.4,"Rain, Overcast"
2017-07-04,0.311000004,39.3,29.1,25.6,27.7,35.8,41.71,17.2,144.35,,2.3,80.1,87.13,"Rain, Overcast"
2017-07-05,0.510000024,27.8,29.1,26,27.3,35.8,0,12.8,148.75,,2.5,89.6,88.75,Overcast
2017-07-06,0.196662259,29.2,32,27,29,39.2,0,13.9,153.33,,2.5,72.5,79.97,Partially cloudy
2017-07-07,0.298000004,33.5,31.1,27,28.6,40.8,0,11.4,116.67,,2.5,71.6,83.22,Partially cloudy
2017-07-08,0.328000004,34.5,32,28,29.1,39.2,0,13.9,160,,2.5,72.5,78.65,Partially cloudy
2017-07-09,0.268000004,26.8,33,28,29.4,40.6,0,11.4,159.57,,2.5,68.9,75.58,Partially cloudy
2017-07-10,0.281000004,31.7,29,27,27.9,34.5,0,13.9,148.33,,2.4,82.1,83.65,Overcast
2017-07-11,0.308000004,35,29,26,26.9,35.6,58.76,11.4,127.42,,2.4,92,89.59,"Rain, Overcast"
2017-07-12,0.298000004,31.9,31,25,27.7,38.8,95.55,11.4,116.04,,2.4,84.4,84.68,"Rain, Overcast"
2017-07-13,0.35997053,26.8,32,26,28.6,39.2,22.18,13.5,132.83,,2.5,79,79.41,"Rain, Overcast"
2017-07-14,0.301000014,23,33,27,29.6,39.2,5.76,9.2,135.67,,2.6,74.3,74.76,"Rain, Partially cloudy"
2017-07-15,0.227150749,29.2,34,27,30.6,40.7,0,9.2,131.42,,2.6,59.5,68.17,Partially cloudy
2017-07-16,0.183516513,31.4,35.3,28,31.3,42.9,4,9.2,147.79,,2.6,59.9,67.09,"Rain, Partially cloudy"
2017-07-17,0.313532425,25.9,34.4,27,31,44.2,12.47,9.2,151.08,,2.8,73.7,74.04,"Rain, Partially cloudy"
2017-07-18,0.122658109,25.2,34,27.4,30.5,43.5,7.4,11.4,120.63,,2.7,69.4,74.67,"Rain, Partially cloudy"
2017-07-19,0.098658109,13.6,29,26,27.5,36.8,18.44,13.9,131.38,,2.1,88.9,88.31,"Rain, Overcast"
2017-07-20,0.138959906,22.2,28,25,26.8,33.6,99.09,11.4,120.87,,2.5,94,90.02,"Rain, Overcast"
2017-07-21,0.102352224,16.8,29,25,27.4,35.6,41.25,11.4,109.75,,2.5,81.1,87.02,"Rain, Overcast"
2017-07-22,0.245312306,17.3,32.2,27,28.8,39.5,41.4,11.4,132.38,,2.6,78,79.36,"Rain, Overcast"
2017-07-23,0.115488654,18.9,32,26.5,28,37.9,32.37,11.4,148.25,,2.5,85.1,82.89,"Rain, Overcast"
2017-07-24,0.148959906,20.8,28,26,26.9,34.5,70.08,18.3,154.63,,2.5,90.2,90.17,"Rain, Overcast"
2017-07-25,0.225312306,33.2,28,25,26.2,32.7,68.25,16.1,163.08,,2.4,92.4,90.38,"Rain, Overcast"
2017-07-26,0.201247322,29.9,29,25.3,26.7,35.6,85.63,9.2,123.21,,2.4,84,90.62,"Rain, Overcast"
2017-07-27,0.462000022,35.3,33,27,29.5,42.1,13.7,9.2,150.88,,2.6,68.2,77.7,"Rain, Partially cloudy"
2017-07-28,0.709876887,46.5,34.5,27,30.5,43.8,0,8.1,136.96,,2.7,63.3,73.5,Partially cloudy
2017-07-29,0.659876887,44.3,31.8,26,29,40.3,11.6,6.9,61.36,,2.6,72.1,82.31,"Rain, Partially cloudy"
2017-07-30,0.533809544,60.8,33,27,28.7,42.1,18.13,13.9,130.83,,2.5,71.1,80.53,"Rain, Partially cloudy"
2017-07-31,0.494596251,49.3,34,20,29,45.3,5.4,13.9,127.92,,2.6,52.3,81.23,"Rain, Partially cloudy"
2017-08-01,0.244596251,37.6,33,27,30,43.8,38,11.4,195.92,,2.6,70.7,77.35,"Rain, Partially cloudy"
2017-08-02,0.384596251,45.3,32.1,27,28.4,42,60.17,11.4,120.83,,2.5,82.6,83.38,"Rain, Overcast"
2017-08-03,0.452123512,52.6,32.6,27,28.6,43.8,207.06,11.4,140.83,,2.5,76.9,84.85,"Rain, Overcast"
2017-08-04,0.492000023,37.2,33.2,27,29.4,43,34.94,6.9,124.63,,2.6,78.6,80.01,"Rain, Overcast"
2017-08-05,0.191251231,22.9,33,28,29.8,40.1,1.6,12.8,115,,2.6,70.2,77.71,"Rain, Partially cloudy"
2017-08-06,0.241261232,36.8,31.4,27,29.4,39.3,18.76,11.4,164.33,,2.6,76.9,79.32,"Rain, Overcast"
2017-08-07,0.191247322,27.9,32,26,29.3,38.9,28.8,13.9,168.5,,2.6,76.4,77.51,"Rain, Overcast"
2017-08-08,0.285312306,37.6,33.7,27.9,30.2,42.7,11.22,13.9,175,,2.6,61.7,75.22,"Rain, Partially cloudy"
2017-08-09,0.225312306,30.2,34,28,30.3,43.8,9.39,11.4,186.25,,2.6,68.5,75.61,"Rain, Partially cloudy"
